Participant 1,Participant 2,Rounds,Score,Winner
suka,hespepe,ft20,20 - 15,suka
Adrian,Brain Rot SC,ft20,20 - 11,Adrian
tadexxxx,scccc,ft20,20 - 9,todex
Adrian,miro,ft20,20 - 9,Adrian
Adrian,Tadex,ft20,19 - 20,Adrian
meeeli,lunicia,ft20,12 - 20,lunicia
Adrian,Best Player (Rian),ft20,9 - 20,Rian
sc,annis,ft20,20 - 18,sc
Adrian,Tadex,ft20,19 - 20,Adrian
Adrian,Annis,ft20,20 - 16,Adrian
tadex,sc,ft20,20 - 12,tadex
bRuki,A2,ft10,10 - 9,bRuki
tadex,seised,ft20,20 - 11,tadex
syal,miro,ft20,20 - 15(something like that),syal
tadex,sc,ft20,20 - 12,tadex
a2,annis,ft20,20 - 9,a2
tadex,annis,ft20,20 - 0,tadex
seised,miro,ft20,20 - 11,seised
seised,miro,ft20,20 - 17,miro
Rian,Annis,ft20,20 - 8,Rian
fabiasheeen,miro,ft1,0-1,miro
tadex,miro,ft20,20 - 5,tadex
tadex,annis,ft20,20 - 3,tadex
tadex,annis,ft20,20 - 7,tadex
spicy,annis,ft100,100-62,spicy
meeeli,Aomon/AAA/MrCharlok,ft20,15 - 20,Aomon
meeeli,lunicia,ft20,12 - 20,lunicia
SC,miro,ft20,20 - 17,SC
Rian,ovrbls,ft20,20 - 9,Rian
Rian,ovrbls,ft20,20 - 11,Rian
Rian,Seised,ft20,20 - 17,Rian
seised,miro,ft20,20 - 4,miro
annis,overblades,ft20,20 - 16,annis
miro,ovrbls,ft20,17 - 20,ovrbls
annis,miro,ft20,20 - 14,annis
Veinn,zender,ft3 in a row,3 - 0,zender
annis,tadex (reel),ft20,20 - 2,tadex (reel)
tadex,annis,ft20,20 - 4,tadex
annis,tadex,ft20,20 - 14,tadex
miro,tadex (real),ft20,8 - 20,tadex (real)
annis,tadex (reel),ft20,20 - 7,tadex (reel)
meeeli,ren,ft20,12 - 20,ren
annis,miro,ft10,6 - 10,miro
Veinn,zender,ft3 in a row,3 - 2,Veinn
tadex,tadex,ft20,20 - 18,tadex
tadex,**B**ruki,ft20,20 - 11,Annis
tadex,**Br**uki,ft20,20 - 13,tadex
zender,rian,ft20,20 - 18,zender
meeeli,pivo,ft20,12 - 20,pivo
zender,sc,ft20,20 - 17,sc
meeeli,Domene,ft10,10- 7,meeeli
annis,tadex,ft20,20 - 16,annis
tadex,SC,ft20,20 - 17,tadex
Veinn,zender,ft3 in a row,3 - 0,zender
tadex,annis,ft20,20 - 6,tadex
suka,miro,ft20,20 - 10,suka
tadex,sc,ft20,20 - 9,tadex
tadex,annis,ft20,20 - 4,tadex
tadex,reanu keeves,ft10,10 - 2,tadex
"meeeli, Ayyoo","lunicia, Domene",ft15,9 - 15,"lunicia, Domene"
hespera,annis,ft20,20 - 12,hespera
spicy,annis,ft20,20 - 15,spicy
SC,Adrian (Shaking in fear),ft20,20 - 17,SC
Rian,Ryd,ft20,20 - 16,Rian
meeeli,Bellion,ft20,20 - 4,meeeli
zender,annis,ft20,20 - 16,zender
lunicia,Ayyoo,ft20,20 - 16,lunicia
zender,sc,ft20,20 - 18,sc
annis,miro,ft20,20 - 15,annis
annis,tali,ft20,20 - 8,annis
annis,miro,ft20,20 - 12,miro
Rion,miro,ft20,20 - 7,Rion
Rian,Pivo,ft20,20 - 10,Rian
Rion,miro,ft20,20 - 18,miro
alfa,miro,ft20,20 - 8,alfa
meeeli,silysily,ft20,20 - 16,meeeli
meeeli,lunicia (post sh*t buff),ft20,16 - 20,lunicia
tadex,annis,ft20,20 - 11,Tadex
Suka,Adrian,ft20,19 - 20,Adrian
meeeli,Domene,ft20,20 - 9,meeeli
meeeli,lunicia (tummy ache debuff),ft20,20 - 13,meeeli
meeeli,lunicia,ft20,9 - 20,lunicia
tadex,annis,ft20,20 - 7,tadex
tadex,annis,ft20,20 - 5,tadex
pivo,annis,ft20,20 - 12,Annis
Annis,Miro,ft20,20 - 19,Miro
Rian,Annis,ft20,20 - 13,Rian
Rian,Miro,ft20,20 - 8,Rian
a3km,pidorasura,ft20,20 - 19,a3km
Adrian,Annis,ft20,20 - 2,Adrian
lunicia,miro,ft20,20 - 15,lunicia
meeeli,Saiden,ft50,22 - 50,Saiden
annis,ren,ft20,20 - 13,ren
Saiden,you,ft20,20 - 8,you
Rian,Annis,ft1,1 - 0,Rian
lunicia,annis,ft20,20 - 10,lunicia
tadex,annis,ft20,20 - 6,tadex
tadex,annis,ft20,20 - 7,tadex
pivo,miro (stats debuff),ft20,20 - 11,pivo
Annis,Miro,ft20,20 - 14,Annis
meeeli,lunicia,ft20,13 - 20,lunicia
suka,annis,ft20,20 - 5,annis
meeeli,lunicia,ft20,12 - 20,lunicia
annis,pivo,ft20,20 - 13,annis
Annis,pivo,ft20,20 - 19,Annis
"meeeli, Bellion, Night","Sharp, lunicia",ft15,11 - 15,"Sharp, lunicia"
suka,miro,ft20,20 - 13,suka
Adrian,SC,ft20,10 - 20,Adrian
"meeeli, lunicia","Sharp, Bellion",ft15,15 - 12,"meeeli, lunicia"
suka,miro,ft20,20 - 10,suka
tadex,miro,ft20,20 - 8,tadex
Tadex,Annis,ft20,20 - 4,Tadex
meeeli,silysily,ft20,20 - 14,meeeli
Tadex,Annis,ft20,20 - 14,Tadex
Adrian,Annis,ft20,4 - 20,Adrian
mirop,pivo,ft20,20 - 7,pivo
tadex,ryd,ft20,20 - 16,tadex
tadex,annis,ft20,20 - 7 (red color filter debuff??),tadex
miro,suka,ft20,8-20,suka
j,pivo,ft20,20 - 4,pivo
miro,suka,ft20,15 - 20,suka
ren,pivo,ft1,1 - 0,pivo
spin,annis,ft20,20 - 17,spinjitzu
miro,annis,ft20,20 - 15,miro
meeeli,lunicia,ft20,14 - 20,lunicia
miro,suka,ft20,13 - 20,suka
miro,tali,ft20,17 - 20,tali
miro,renterik,ft20,20 - 19,miro
Esdeath,pivo,ft20,20 - 11,Esdeath
Esdeath,zender,ft20,17 - 20,zender
Esdeath,pivo,ft20,20 - 15,Esdeath
Annis,zender,ft20,17 - 20,zender
suka,annis,ft20,19 - 20,annis
Adrian,Zender,ft20,9 - 20,Adrian
Saiden,Miro,ft20,20 - 18,Miro
Annis,Xanixxx,ft20,20 - 12,Annis
SC meow,pivo,ft20,8-20,SC
Tad,Zender,ft20,20-16,Tad
miro,suka,ft20,13-20,suka
meeeli,silysily,ft20,20 - 9,meeeli
Aliya,Yoda,ft20,20-12,Aliya
Saiden,Miro,ft20,20 - 19,Saiden
Seised,Zender,ft20,20-15,Seised
Esdeath,zender,ft20,18 - 20,Esdeath
Saiden,Miro,ft20,20 - 10,miro
Esdeath,Miro,ft20,20 - 9,Esdeath
Veinn,Zender,ft20,20-16,zender
Saiden,Miro,ft20,20 - 16,Saiden
Seised,Zender,ft20,20-6,Seised
Esdeath,Miro,ft20,20 - 8,Esdeath
Pivo,Annis,ft20,20 - 15,Annis (i was literally losing so hard at the beginning when he didnt even play for a week at all)
zender,TadX(rank),ft20,20-17,Tad
Sirzechs,Rian,ft20,20 - 17,Rian
zender,TadX(rank),ft20,20-11,Tad
meeeli,lunicia,ft20,14 - 20,lunicia
xanixxx,miro,ft20,16-20,miro
Sirzechs,Alfa,ft20,20 - 4,Alfa
Rian,Annis,ft20,20 - 15,Rian
annis,miro,ft20,16-20,miro
SpinJutsu,Xanixxx,ft20,20 - 13,Xanixxx
rian,miro,ft20,20 - 17,Rian
Rian,Annis,ft20,20 - 19 (again <:despair:1249017142976712815> ),Rian
rian,pivo,ft20,20 - 6,Rian
suka,miro,ft20,20-9,suka
ren,Helado,ft20,20-5,Helado
zender,Yui,ft20,20-12,Yui
ovrbls,miro,ft20,20-18,ovrbls
yui,miro,ft20,20-5,Yui
tadex,miro,ft20,20-10,tadex
suka,miro,ft20,20-16,suka
suka,miro,ft20,20-10,suka
Alfa,Rian,ft20,12 - 20,Alfa
suka,miro,ft20,20-12,suka
Saiden,pivo,ft20,13 - 20,pivo
zender,miro,ft20,20-10,zender
Alfa,Rian,ft20,18 - 20,Alfa
Seised,Helado,ft20,20 - 18,Helado
Sirzechs,Rian,ft20,20 - 14,Rian
meeeli,Ayyo,ft20,20 - 17,meeeli
Annis,Seised(sleepy),ft20,20 - 13,Seised
Sirzechs,Alfa,ft20,20 - 2,Alfa
Annis,J,ft20,20 - 11,Annis
xanixxx,miro,ft20,16-20,miro
xanixxx,miro,ft20,14-20,miro
Suka,zender,ft20,20 - 16,zender
Tad,zender,ft20,20 - 13,Tad
Tadex,Seised,ft20,20 - 15,Tadex
Annis,Xanixxx,ft20,20 - 19,Xanixxx
Rian,Aliya,ft20,20 - 15,Rian
YUi,zender,ft20,20 - 14,Yui
Sirzechs,Xanixxx,ft20,20 - 14,Xanixxx
Tadex,Yoda,ft20,20 - 5,Tadex
Tadex,Annis,ft20,20 - 8,Tadex
pivo,miro,ft20,20 - 17,pivo
tadex,Kivi,ft20,20 - 12,Kivi
miro,pivo,ft20,20 - 19,pivo
Xanixxx,Spinjutsu,ft20,20 - 5,Spinjutsu
Xanixxx,ovrbls,ft20,15 - 20,ovrbls
miro,suka,ft20,14-20,suka
Alfa,zender,ft20,20 - 18,Alfa
zender,SC,ft20,20 - 19,zender
A(rank)lfa,Zender,ft20,20 - 11,Alfa
Annis,Kivi,ft20,20 - 12,Kivi
Tadex,Annis,ft20,20 - 8,Tadex
Alfa,Zender,ft20,20 - 11,Alfa
Hespera,Kivi,ft20,20 - 14 (or 16 i forgot),Kivi
Seised,Alfa,ft20,20 - 19,Alfa
Hespera,Kivi,ft20,20 - 19,Hespera
Alfa,Hespera,ft20,20 - 14,Alfa
Alfa,Hespera,ft20,20 - 16,Hespera
Seised,Rian,ft20,20 - 14,Seised
Seised,Hespera,ft20,20 - 19,Seised
Alfa,SC,ft20,20 - 19,Alfa
Xanixxx,Spinjutsu,ft20,20 - 9,Spinjutsu
tadex,alfa,ft20,20 - 9,tadex
Xanixxx,Yoda,ft20,20 - 16,Xanixxx
Tadex,Paladino,ft20,20 - 5,Tadex
Annis,Rian,ft20,20 - 19,Rian
Saiden,Lunicia,ft20,20 - 10,saiden
piwo,suka,ft20,20 - 4,suka
miro,piwo,ft20,8-20,piwo
piwo,suka,ft20,20 - 7,suka
Tadex,Paladino,ft20,20 - 17,Tadex
Miro,suka,ft20,20 - 12,suka
Miro,Zender,ft20,20 - 11,zender
Sirzechs,Xanixxx,ft20,20 - 10,Xanixxx
Xanixx,Alfa,ft20,20 - 5,Alfa
Annis,zender,ft20,6 - 20,zender
Rian,Sirzechs,ft20,20 - 5,Rian
Saiden,Esdeath,ft20,20 - 8,esdeath
Rian,Zender,ft20,20 - 12,Rian
Paladino,Annis,ft20,20- 19,Paladino
Xanixx,Alfa,ft20,20 - 8,Alfa
Sirzechs,Alfa,ft20,20 - 1,Alfa
Seised,Alfa,ft20,20 - 19,Seised
ovrbls,annis,ft20,20- 14,ovrbls
alfa,pivo,ft20,8- 20,alfa
Annis,Seised,ft20,20 - 8 or 9 idr,Seised
over1k,pivo,ft20,11- 20,over
Xanix,Zender,ft20,20 - 19,zender
annis,pivo,ft20,18- 20,annis
Saiden,Lunicia,ft20,20 - 16,saiden
